Country,Time,Value
Spain,2002-08,2.269178
Spain,2002-09,2.665383
Spain,2002-10,3.791223
Spain,2002-11,4.028794
Spain,2002-12,3.997561
Spain,2003-01,3.712067
Spain,2003-02,3.842506
Spain,2003-03,3.705551
Spain,2003-04,3.148289
Spain,2003-05,2.68305
Spain,2003-06,2.747384
Spain,2003-07,2.815948
Spain,2003-08,2.993599
Spain,2003-09,2.915166
Spain,2003-10,2.592356
Spain,2003-11,2.768502
Spain,2003-12,2.603267
Spain,2004-01,2.30478
Spain,2004-02,2.135226
Spain,2004-03,2.139765
Spain,2004-04,2.703218
Spain,2004-05,3.404331
Spain,2004-06,3.498868
Spain,2004-07,3.361783
Spain,2004-08,3.343668
Spain,2004-09,3.220711
Spain,2004-10,3.583313
Spain,2004-11,3.505602
Spain,2004-12,3.227717
Spain,2005-01,3.081073
Spain,2005-02,3.3005
Spain,2005-03,3.396034
Spain,2005-04,3.468277
Spain,2005-05,3.058693
Spain,2005-06,3.13554
Spain,2005-07,3.288286
Spain,2005-08,3.285709
Spain,2005-09,3.735026
Spain,2005-10,3.514202
Spain,2005-11,3.411622
Spain,2005-12,3.735722
Spain,2006-01,4.192199
Spain,2006-02,3.972824
Spain,2006-03,3.886995
Spain,2006-04,3.85617
Spain,2006-05,4.031907
Spain,2006-06,3.947167
Spain,2006-07,3.965041
Spain,2006-08,3.721192
Spain,2006-09,2.918845
Spain,2006-10,2.508011
Spain,2006-11,2.606253
Spain,2006-12,2.666013
Spain,2007-01,2.39165
Spain,2007-02,2.411949
Spain,2007-03,2.463893
Spain,2007-04,2.434566
Spain,2007-05,2.347048
Spain,2007-06,2.380367
Spain,2007-07,2.242552
Spain,2007-08,2.175066
Spain,2007-09,2.679123
Spain,2007-10,3.585054
Spain,2007-11,4.069732
Spain,2007-12,4.220231
Spain,2008-01,4.275906
Spain,2008-02,4.367856
Spain,2008-03,4.501223
Spain,2008-04,4.186664
Spain,2008-05,4.602083
Spain,2008-06,5.011343
Spain,2008-07,5.274231
Spain,2008-08,4.903523
Spain,2008-09,4.538452
Spain,2008-10,3.556026
Spain,2008-11,2.382919
Spain,2008-12,1.433187
Spain,2009-01,0.8073477
Spain,2009-02,0.6609229
Spain,2009-03,-0.06083152
Spain,2009-04,-0.1597185
Spain,2009-05,-0.8633673
Spain,2009-06,-0.9967309
Spain,2009-07,-1.369076
Spain,2009-08,-0.8114734
